algorithm,function,mean,std,median,min,max
NWOA-PS,F4,470.1727702584422,12.504394598110892,472.2714098366005,444.85307352670384,495.83759235000133
NWOA-PS,F5,501.5474463761706,0.4032087208057498,501.43399372061833,500.8894243972705,502.66716447902473
NWOA-PS,F6,673.3984797816488,9.902744880434962,674.6860608602635,651.3300666387396,697.412098944634
NWOA-PS,F7,757.6767784708106,11.717152572270555,757.946946027688,734.0,783.6129492401861
NWOA-PS,F8,802.7778119581918,1.4429009121522167,802.2927535602051,800.7610931828085,807.3027374194027
NWOA-PS,F9,901.7767301121734,0.40669491119266793,901.7921491966431,901.1078562330891,902.8399817135029
NWOA-SA,F1,8670984.43800985,4833094.537412615,7219475.000269641,2071695.1027341057,22124418.679070573
NWOA-SA,F10,1016.5227203552107,4.4239016851226625,1019.8398165072256,1007.9181924277062,1019.9999999604312
NWOA-SA,F11,2561.1045428770203,1362.15576553278,2187.580426970814,1270.7802775081993,8634.654937862824
NWOA-SA,F12,1215.7068723384737,4.587591344252038,1215.0265174302806,1207.9012452996571,1228.2115524657154
NWOA-SA,F13,106493.50085532901,138655.4073049759,47046.973819262246,6949.431340241253,572213.8750711851
NWOA-SA,F14,1442.6930162708636,7.600748485104583,1443.4274455691857,1426.5368336073866,1460.600426453964
NWOA-SA,F15,5576.339825295848,1809.3739564436964,5469.0520893462235,2544.804470619105,9591.328980978422
NWOA-SA,F16,1914.7360199663317,180.39581569462283,1856.9934961482109,1667.8135483975493,2385.360880777647
NWOA-SA,F17,5466.450011171938,2054.077155796802,4816.218126770987,2309.495505884895,9225.911641199637
NWOA-SA,F18,1967.9541919739595,173.88903370397077,1906.1327370840331,1850.0764544072326,2650.77530254045
NWOA-SA,F19,4179.979170741799,1445.9813818121122,3958.12010517771,2259.527399503806,8237.51916471714
NWOA-SA,F2,281.4106501072383,33.17370758674911,278.6635846291829,226.53676930660163,369.4615428030389
NWOA-SA,F20,2026.1841066485792,6.562338302446922,2028.1179382333492,2007.4604755171133,2035.8164269531694
NWOA-SA,F21,2822.105036447113,1.8730058480443081,2822.432820315722,2818.3567664623383,2825.636011820414
NWOA-SA,F22,2888.0534505779547,11.430123470524276,2885.283132435703,2871.3807887080657,2921.0666197835426
NWOA-SA,F23,28560.78562731923,411.74638464244595,28516.254595039354,27949.378213417578,29481.58054530462
NWOA-SA,F24,3253.7726131637996,5.18072901579699,3252.3107819599472,3244.759760810568,3267.368285996422
NWOA-SA,F25,8208.970217732185,14356.247447338723,4645.427060069938,3686.7688420550403,82462.34202470357
NWOA-SA,F26,36499.85357425029,46305.06165039981,17640.596021291985,6163.72612131756,201568.78639435032
NWOA-SA,F27,8232.692233469106,7787.288736244495,5013.958542446944,3650.3382544529077,38027.68236834675
NWOA-SA,F28,73122.66154900611,545.2127960376713,73061.92998095653,72393.67077913346,74444.40452395448
NWOA-SA,F29,3682.6980377082004,29.18113699450539,3696.5946412862604,3606.5967036116513,3705.772197654345
NWOA-SA,F3,25318.872807945965,35646.24032722755,10179.505090781004,804.1363898365775,165437.54013278103
NWOA-SA,F30,19921.938711078084,37696.65839058505,7010.954978519909,3974.6168346461136,194029.97802903363
NWOA-SA,F4,489.7674190287013,16.814333022787203,486.1748627289447,453.0364414180252,524.0725014443907
NWOA-SA,F5,503.14872217327473,0.2915927448719737,503.1087887945733,502.45891133282765,503.676944148813
NWOA-SA,F6,690.0442587362037,12.186758361302523,687.6420506073321,672.2884181062467,716.5946497517313
NWOA-SA,F7,776.1563854487052,20.10264703933083,775.313055341157,732.4576122867986,816.8174740654817
NWOA-SA,F8,811.8294733905367,8.27160545715017,810.0005839080952,803.6297693922262,845.4268862645891
NWOA-SA,F9,902.6598198124847,0.726354457586694,902.6498824016184,901.2284061548604,904.7376327521793
